epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6956885370174566,0.6947270079588805,0.5393258426966292,0.6434782608695652,0.42878787878787883,0.007128792565139373,1.0565285046043316e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6953167087581291,0.6942259335346442,0.550561797752809,0.6,0.4515151515151515,0.007350212740851301,1.1240163007620097e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6949341425495845,0.6937025333444793,0.550561797752809,0.6491228070175439,0.47575757575757577,0.007601998212747044,1.2030337979112652e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6945400040010792,0.693153847218339,0.5842696629213483,0.6407766990291263,0.502020202020202,0.007885471988606106,1.2949599136162197e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6941350376496336,0.6925885275375873,0.5955056179775281,0.6666666666666666,0.5318181818181817,0.008182981250500236,1.394864853154928e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6937209059746214,0.6920130645199118,0.6067415730337079,0.6788990825688074,0.5565656565656566,0.008481107734414564,1.498511762585695e-06,0.1875,2,16,1.0,keep,none,0,0
6,0.6932992758035594,0.6914315260418487,0.6292134831460674,0.7027027027027027,0.5898989898989899,0.008770539120102052,1.6025225459113745e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.692871477018077,0.690846652315119,0.651685393258427,0.7155963302752294,0.6232323232323232,0.009043568681654688,1.7037002003186965e-06,0.1875,2,16,1.0,keep,none,0,0
8,0.6924383607541449,0.6902603094062668,0.651685393258427,0.7155963302752294,0.6515151515151516,0.009292828011051297,1.798672661645496e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.692000453741919,0.6896740333575339,0.6853932584269663,0.5757575757575758,0.6818181818181819,0.009510605820947668,1.883694856190903e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6915583789493478,0.6890896534254155,0.6966292134831461,0.5846153846153846,0.7,0.009688892991818828,1.954723155439146e-06,0.16666666666666666,2,16,1.0,stop_growth,none,0,0
