epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6956885370174566,0.6947270079588806,0.5393258426966292,0.6434782608695652,0.42878787878787883,0.007128792565139375,1.056528504604332e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6953167087581291,0.6942259335346443,0.550561797752809,0.6,0.45151515151515154,0.007350212740851299,1.1240163007620088e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6949341425495845,0.6937025333444793,0.550561797752809,0.6491228070175439,0.47575757575757577,0.007601998212747046,1.2030337979112656e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6945400040010792,0.693153847218339,0.5842696629213483,0.6407766990291263,0.502020202020202,0.007885471988606108,1.29495991361622e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6941350376496337,0.6925885275375872,0.5955056179775281,0.6666666666666666,0.5318181818181817,0.008182981250500244,1.3948648531549313e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6937209059746215,0.6920130645199118,0.6067415730337079,0.6788990825688074,0.5565656565656566,0.00848110773441456,1.498511762585694e-06,0.1875,2,16,1.0,keep,none,0,0
6,0.6932992758035594,0.6914315260418487,0.6292134831460674,0.7027027027027027,0.5898989898989898,0.008770539120102058,1.6025225459113764e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.692871477018077,0.690846652315119,0.651685393258427,0.7155963302752294,0.6232323232323232,0.009043568681654691,1.7037002003186978e-06,0.1875,2,16,1.0,keep,none,0,0
8,0.6924383607541449,0.6902603094062668,0.651685393258427,0.7155963302752294,0.6515151515151516,0.009292828011051307,1.7986726616455e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.692000453741919,0.6896740333575339,0.6853932584269663,0.5757575757575758,0.6818181818181819,0.009510605820947666,1.8836948561909022e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6867460535308164,0.6890896534254155,0.6966292134831461,0.5846153846153846,0.7,0.01816627965963313,4.469668279789737e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6856240678576278,0.6835307224940979,0.7752808988764045,0.7777777777777778,0.8,0.01807617368423621,4.408978613483757e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
12,0.684526954603307,0.6823326631151823,0.7865168539325843,0.7816091954022989,0.8146464646464646,0.017959459757758374,4.332608650545276e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
13,0.683466272864626,0.6811703411719118,0.797752808988764,0.7954545454545454,0.8171717171717172,0.017761497708184096,4.213789324472566e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
14,0.6824526209462035,0.6800640236190117,0.8089887640449438,0.8172043010752689,0.8217171717171717,0.01751687579915664,4.071656059351598e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
15,0.6946956861275841,0.679023588448854,0.8089887640449438,0.8172043010752689,0.8247474747474748,0.023654928241636463,5.808164120081365e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
16,0.6929199672362644,0.693379960046487,0.5730337078651685,0.6346153846153846,0.5227272727272727,0.023781403315635594,5.868817680631452e-06,0.09375,4,32,1.0,keep,none,2,0
17,0.691159707266414,0.6912604498047387,0.6853932584269663,0.7307692307692307,0.6126262626262626,0.023653435562239457,5.8030717044991415e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
18,0.6894304551739509,0.6892153585335579,0.7191011235955056,0.7572815533980582,0.6621212121212122,0.023325958203488904,5.63963759200018e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
19,0.6877535608976426,0.6872632247336872,0.7415730337078652,0.780952380952381,0.7040404040404041,0.0227881488903128,5.377423426893832e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
20,0.6944712148535589,0.6854261258148562,0.7640449438202247,0.8,0.7535353535353535,0.02177535366707475,3.927165421429865e-06,0.06666666666666667,5,40,1.0,add_layer,committed,3,0
21,0.6926903397170178,0.6915410646788592,0.5842696629213483,0.5194805194805194,0.5419191919191919,0.02157756892000212,3.85737987517048e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
22,0.6909211614472666,0.6896682068028814,0.6404494382022472,0.5789473684210527,0.6217171717171717,0.02127775477223195,3.7530588652506403e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
23,0.6891853180373432,0.6878316416569389,0.6966292134831461,0.6086956521739131,0.701010101010101,0.020929089784625068,3.6332641641267196e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
24,0.6874909617331979,0.6860327693262603,0.7528089887640449,0.7027027027027027,0.76010101010101,0.020585881953632583,3.517252370598873e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
25,0.6896286336192405,0.6842583920527173,0.797752808988764,0.775,0.8106060606060606,0.026432901502993898,4.791370211666914e-06,0.05555555555555555,6,48,1.0,add_layer,committed,4,0
